id,year,site,hybrid,date_planted,day_of_year_planted,day_of_year_harvested,date_harvested,yield_mg_ha,soilpH,om_pct,soilk_ppm,soilp_ppm,longitude,latitude
1,2014,DEH1,M0088/LH185,2014-05-05,125,272,2014-09-29,5.721724901,NA,NA,NA,NA,-75.204048,38.637405
2,2014,DEH1,M0143/LH185,2014-05-05,125,272,2014-09-29,11.33824635,NA,NA,NA,NA,-75.204048,38.637405
3,2014,DEH1,M0003/LH185,2014-05-05,125,272,2014-09-29,6.54081,NA,NA,NA,NA,-75.204048,38.637405
4,2014,DEH1,M0035/LH185,2014-05-05,125,272,2014-09-29,10.3668568,NA,NA,NA,NA,-75.204048,38.637405
5,2014,DEH1,M0052/LH185,2014-05-05,125,272,2014-09-29,10.90881422,NA,NA,NA,NA,-75.204048,38.637405
6,2014,DEH1,M0008/LH185,2014-05-05,125,272,2014-09-29,11.51011812,NA,NA,NA,NA,-75.204048,38.637405
7,2014,DEH1,M0001/LH185,2014-05-05,125,272,2014-09-29,11.72274331,NA,NA,NA,NA,-75.204048,38.637405
8,2014,DEH1,M0014/LH185,2014-05-05,125,272,2014-09-29,1.354874791,NA,NA,NA,NA,-75.204048,38.637405
9,2014,DEH1,M0352/LH185,2014-05-05,125,272,2014-09-29,7.89468057,NA,NA,NA,NA,-75.204048,38.637405
10,2014,DEH1,M0325/LH185,2014-05-05,125,272,2014-09-29,8.477578749,NA,NA,NA,NA,-75.204048,38.637405
11,2014,DEH1,M0012/LH185,2014-05-05,125,272,2014-09-29,8.263814444,NA,NA,NA,NA,-75.204048,38.637405
12,2014,DEH1,M0296/LH185,2014-05-05,125,272,2014-09-29,12.12044504,NA,NA,NA,NA,-75.204048,38.637405
13,2014,DEH1,M0042/LH185,2014-05-05,125,272,2014-09-29,11.30819464,NA,NA,NA,NA,-75.204048,38.637405
14,2014,DEH1,M0027/LH185,2014-05-05,125,272,2014-09-29,6.979939617,NA,NA,NA,NA,-75.204048,38.637405
15,2014,DEH1,M0083/LH185,2014-05-05,125,272,2014-09-29,14.25023417,NA,NA,NA,NA,-75.204048,38.637405
16,2014,DEH1,M0099/LH185,2014-05-05,125,272,2014-09-29,11.247581630000001,NA,NA,NA,NA,-75.204048,38.637405
17,2014,DEH1,M0151/LH185,2014-05-05,125,272,2014-09-29,12.06441097,NA,NA,NA,NA,-75.204048,38.637405
18,2014,DEH1,M0041/LH185,2014-05-05,125,272,2014-09-29,15.39723509,NA,NA,NA,NA,-75.204048,38.637405
19,2014,DEH1,M0101/LH185,2014-05-05,125,272,2014-09-29,10.56919247,NA,NA,NA,NA,-75.204048,38.637405
20,2014,DEH1,M0317/LH185,2014-05-05,125,272,2014-09-29,11.29580674,NA,NA,NA,NA,-75.204048,38.637405
21,2014,DEH1,M0163/LH185,2014-05-05,125,272,2014-09-29,10.31824199,NA,NA,NA,NA,-75.204048,38.637405
22,2014,DEH1,M0076/LH185,2014-05-05,125,272,2014-09-29,12.39801489,NA,NA,NA,NA,-75.204048,38.637405
23,2014,DEH1,M0311/LH185,2014-05-05,125,272,2014-09-29,11.6527026,NA,NA,NA,NA,-75.204048,38.637405
24,2014,DEH1,M0346/LH185,2014-05-05,125,272,2014-09-29,11.94793626,NA,NA,NA,NA,-75.204048,38.637405
25,2014,DEH1,M0028/LH185,2014-05-05,125,272,2014-09-29,11.8918872,NA,NA,NA,NA,-75.204048,38.637405
26,2014,DEH1,M0106/LH185,2014-05-05,125,272,2014-09-29,12.43466897,NA,NA,NA,NA,-75.204048,38.637405
27,2014,DEH1,M0272/LH185,2014-05-05,125,272,2014-09-29,10.11101262,NA,NA,NA,NA,-75.204048,38.637405
28,2014,DEH1,M0287/LH185,2014-05-05,125,272,2014-09-29,13.59863674,NA,NA,NA,NA,-75.204048,38.637405
29,2014,DEH1,M0355/LH185,2014-05-05,125,272,2014-09-29,5.111420468,NA,NA,NA,NA,-75.204048,38.637405
30,2014,DEH1,M0369/LH185,2014-05-05,125,272,2014-09-29,14.00464203,NA,NA,NA,NA,-75.204048,38.637405
31,2014,DEH1,M0323/LH185,2014-05-05,125,272,2014-09-29,10.8698744,NA,NA,NA,NA,-75.204048,38.637405
32,2014,DEH1,M0085/LH185,2014-05-05,125,272,2014-09-29,11.91249623,NA,NA,NA,NA,-75.204048,38.637405
33,2014,DEH1,M0118/LH185,2014-05-05,125,272,2014-09-29,9.783561435,NA,NA,NA,NA,-75.204048,38.637405
34,2014,DEH1,M0186/LH185,2014-05-05,125,272,2014-09-29,12.35790598,NA,NA,NA,NA,-75.204048,38.637405
35,2014,DEH1,M0030/LH185,2014-05-05,125,272,2014-09-29,10.85635487,NA,NA,NA,NA,-75.204048,38.637405
36,2014,DEH1,M0075/LH185,2014-05-05,125,272,2014-09-29,11.66710644,NA,NA,NA,NA,-75.204048,38.637405
37,2014,DEH1,M0297/LH185,2014-05-05,125,272,2014-09-29,14.10068758,NA,NA,NA,NA,-75.204048,38.637405
38,2014,DEH1,M0051/LH185,2014-05-05,125,272,2014-09-29,11.05760388,NA,NA,NA,NA,-75.204048,38.637405
39,2014,DEH1,M0045/LH185,2014-05-05,125,272,2014-09-29,21.63169006,NA,NA,NA,NA,-75.204048,38.637405
40,2014,DEH1,M0159/LH185,2014-05-05,125,272,2014-09-29,11.01448231,NA,NA,NA,NA,-75.204048,38.637405
41,2014,DEH1,M0058/LH185,2014-05-05,125,272,2014-09-29,11.01058533,NA,NA,NA,NA,-75.204048,38.637405
42,2014,DEH1,M0022/LH185,2014-05-05,125,272,2014-09-29,10.81951343,NA,NA,NA,NA,-75.204048,38.637405
43,2014,DEH1,M0154/LH185,2014-05-05,125,272,2014-09-29,10.23499652,NA,NA,NA,NA,-75.204048,38.637405
44,2014,DEH1,Z022E0048/LH185,2014-05-05,125,272,2014-09-29,11.71003316,NA,NA,NA,NA,-75.204048,38.637405
45,2014,DEH1,Z022E0059/LH185,2014-05-05,125,272,2014-09-29,13.56640423,NA,NA,NA,NA,-75.204048,38.637405
46,2014,DEH1,Z022E0149/LH185,2014-05-05,125,272,2014-09-29,13.10602109,NA,NA,NA,NA,-75.204048,38.637405
47,2014,DEH1,Z022E0095/LH185,2014-05-05,125,272,2014-09-29,14.82575806,NA,NA,NA,NA,-75.204048,38.637405
48,2014,DEH1,Z022E0009/LH185,2014-05-05,125,272,2014-09-29,6.464773936,NA,NA,NA,NA,-75.204048,38.637405
49,2014,DEH1,Z022E0130/LH185,2014-05-05,125,272,2014-09-29,5.032634038,NA,NA,NA,NA,-75.204048,38.637405
50,2014,DEH1,Z022E0023/LH185,2014-05-05,125,272,2014-09-29,9.741406612,NA,NA,NA,NA,-75.204048,38.637405
51,2014,DEH1,Z022E0097/LH185,2014-05-05,125,272,2014-09-29,9.607193141,NA,NA,NA,NA,-75.204048,38.637405
52,2014,DEH1,Z022E0166/LH185,2014-05-05,125,272,2014-09-29,12.89937626,NA,NA,NA,NA,-75.204048,38.637405
53,2014,DEH1,Z022E0053/LH185,2014-05-05,125,272,2014-09-29,10.1952773,NA,NA,NA,NA,-75.204048,38.637405
54,2014,DEH1,Z022E0073/LH185,2014-05-05,125,272,2014-09-29,12.7415486,NA,NA,NA,NA,-75.204048,38.637405
